DocID,SentID,DecisionToInclude,docLen,SentLen,SentAVG,TF,IDF,strSeg
1,40,0,311,32,0.1,0.09,12.07,فقد جاء إنتاجه الفني غزيرا حتى .
1,41,0,311,19,0.06,0.07,7.69,بعد إصابته بالصمم .
1,42,0,311,39,0.13,0.1,16.17,بدأت إصابة بيتهوفن بصمم بسيط عام 1802 .
1,43,0,311,46,0.15,0.2,14.24,، فبدأ في الانسحاب من الأوساط الفنية تدريجيا .
1,44,0,311,42,0.14,0.13,19.15,، وأمضى حياته بلا زواج يرتبط بعلاقات عدة .
1,45,0,311,17,0.05,0.07,6.99,مع سيدات صغيرات .
1,46,0,311,35,0.11,0.09,13.22,إلا أنه لم يتوقف عن الإنتاج الفني .
1,47,0,311,33,0.11,0.13,12.63,، ولكن أعماله اتخذت اتجاه جديد  .
1,48,0,311,23,0.07,0.07,10.39,ومع ازدياد حالة الصمم .
1,49,0,311,48,0.15,0.18,18.56,التي أصابته ، امتنع عن العزف في الحفلات العامة .
1,50,0,311,44,0.14,0.13,16.15,، وابتعد عن الحياة الاجتماعية واتجه للوحدة .
1,51,0,311,37,0.12,0.18,13.95,، وقلت مؤلفاته ، وأصبحت أكثر تعقيدا .
1,52,0,311,58,0.19,0.1,24.19,حتى أنه رد على انتقادات نقاده بأنه يعزف للأجيال القادمة  .
1,53,0,311,40,0.13,0.11,15.12,وبالفعل مازالت أعماله حتى اليوم من أهم .
1,54,0,311,41,0.13,0.08,9.65,ما أنتجته الموسيقى الكلاسيكية العالمية  .
1,55,0,311,30,0.1,0.09,8.78,واكتسبت اثنان من السيمفونيات .
1,56,0,311,31,0.1,0.12,13.61,التي كتبها في صممه أكبر شعبية .
1,57,0,311,37,0.12,0.13,10.62,، وهما السيمفونية الخامسة والتاسعة  .
1,58,1,311,46,0.15,0.16,14.33,كما أنه أحدث الكثير من التغييرات في الموسيقى .
1,59,1,311,47,0.15,0.17,13.95,، وأدخل الغناء والكلمات في سيمفونيته التاسعة  .
1,60,0,311,48,0.15,0.09,19.06,فجاءت رسالته إلى العالم كل البشر سيصبحون إخوة  .
2,1,1,251,114,0.45,0.16,35.59,﻿الناي آلة نفخية تعد بحق أقدم آلة موسيقية في التاريخ ( إذا استثنينا الآلات الإيقاعية ( وللناي عدة أسماء تعرف بها .
2,2,1,251,37,0.15,0.07,7.92,منها الناي القصبة الشبابة المنجيرة  .
2,3,1,251,34,0.14,0.06,10.34,والناي كلمة فارسية تعني المزمار  .
2,4,0,251,66,0.26,0.1,21.78,هي قصبة مفتوحة الطرفين يعزف عليها بواسطة وضع الفم على أحد طرفيها .
2,5,0,251,128,0.51,0.1,40.02,مع إمالته قليلا بزاوية مما يجعل الهواء يصطدم بجدارها الداخلي مصدرا بالنتيجة صوتا شجيا هو أقرب الأصوات وأجملها بالنسبة للإنسان  .
2,6,1,251,66,0.26,0.13,20.23,وللناي ستة ثقوب ( وأحيانا سبعه ) وثقب في منتصف القصبة من الأسفل  .
2,7,0,251,127,0.51,0.16,32.48,وتسد هذه الثقوب وتفتح حسب درجة الصوت ولإخراج العلامات بتسلسل يستطيع معه العازف إخراج العلامات الموسيقية لإخراج اللحن المطلوب  .
2,8,0,251,63,0.25,0.07,18.65,والثقب الخلفي يسد بالإبهام ويستخدم لإظهار جواب العلامة الدنيا .
2,9,1,251,22,0.09,0.06,6.87,التي تظهر في البداية .
2,10,0,251,34,0.14,0.08,10.0,وتحتاج هذه الآلة إلى براعة شديدة .
2,11,0,251,18,0.07,0.06,6.75,حيث لها 3 تقنيات .
2,12,1,251,60,0.24,0.14,15.0,التقنية الأولى : هي طريقة النفخ حيث أن إخراج الصوت الطبيعي .
2,13,1,251,59,0.24,0.1,18.55,منها هي أول صعوبة يجب التغلب عليها لمن أراد التعلم عليها  .
2,14,0,251,71,0.28,0.12,21.03,لذلك ينصح عادة بأن يتمرن من يريد التعلم بالتدريب على إخراج الصوت أولا .
2,15,0,251,83,0.33,0.14,24.57,ومن ثم عندما يستطيع ذلك يبدأ بالتعلم على إخراج الدرجات الصوتية ( تمرين الأصابع )  .
2,16,1,251,69,0.27,0.1,17.8,والعازف الخبير يستطيع بتغيير طريقة النفخ التلاعب بهذه الآلة الخطيرة .
2,17,1,251,191,0.76,0.34,57.74,حيث يستطيع العازف المتمكن أن يخرج أكثر من سبع علامات صحيحة أو حتى أكتر من أوكتاف ( ديوان ) فالآلة تنتج 7 أصوات صحيحة تماما وبالتالي يستطيع العازف الخبير أن ينتج 7 أصوات أخفض و 7 أصوات أعلى  .
2,18,0,251,84,0.33,0.14,22.43,التقنية الثانية : هي إمالة الشبابة بأكثر من زاوية لإخراج أصوات معينة أو ربع التون  .
2,19,1,251,131,0.52,0.19,36.94,التقنية الثالثة : وهي طريقة سد الثقوب بحيث ينتج الأصوات المطلوبة أو سد الثقوب بطريقة معينة لإنتاج ربع التون ( العلامات الشرقية )  .
2,20,0,251,48,0.19,0.08,12.84,وآلة الناي آلة أساسية في التخت الشرقي التقليدي .
2,21,0,251,42,0.17,0.1,12.72,حيث أن صوتها قريب جدا إلى الأذن البشرية  .
2,22,0,251,61,0.24,0.09,18.67,وقد اعتاد إخواننا المصريين إضافة عدة آلات تشبهها بالطريقة ( .
2,23,0,251,28,0.11,0.08,7.22,مع الاختلاف بطبيعة الصوت ) .
2,24,0,251,34,0.14,0.07,9.55,ومنها آلة الكولة ولكنهم لم يلغوا .
2,25,0,251,19,0.08,0.07,4.16,هذه الآلة العظيمة .
2,26,1,251,80,0.32,0.14,24.34,عيوب هذه الآلة كثيرة أبرزها أن صوتها ليس ثابتا لذلك تعتمد كثيرا على أذن العازف .
2,27,1,251,68,0.27,0.09,23.96,الذي يجب ان يكون بارعا وذو أذن صافية ممتازة حتى تؤدي دورها الصحيح  .
2,28,1,251,42,0.17,0.09,12.6,والعيب الثاني أن لكل ناي درجة صوتية يبدأ .
2,29,1,251,31,0.12,0.09,8.93,منها ولذلك تجد أن العازف عادة .
2,30,1,251,27,0.11,0.08,7.51,ما يملك أكثر من ناي وعادة .
2,31,1,251,107,0.43,0.12,33.7,ما يكون عددها سبع وإن كان بعض العازفين المهرة جدا يكتفون بأربع أو ثلاث قصبات ويتحايلون على بقية المقامات  .
3,1,1,123,76,0.62,0.12,9.88,﻿العود هي آلة موسيقية شرقية وترية تاريخها موغل بالقدم يرجعه البعض إلى نوح  .
3,2,1,123,43,0.35,0.16,4.22,و تعني كلمة العود في اللغة العربية الخشب  .
3,3,1,123,141,1.15,0.3,16.6,فالعود من الآلات الوترية العربية له خمسة أوتار ثنائية أو و يمكن ربط وتر سادس إلى العود و يغطي مجاله الصوتي حوالي الأوكتافين و نصف الأوكتاف  .
3,4,0,123,79,0.64,0.16,8.68,الأدبيات الشرقيةالموسيقية كلها تظهر وتؤكد على استخدام نوع أو أكثر من الأعواد  .
3,5,1,123,49,0.4,0.14,4.5,يعتبر العود آلة رئيسية في التخت الموسيقي الشرقي .
3,6,1,123,74,0.6,0.26,9.24,، في التاريخ الحديث هناك أكثر من دولة عربية تدعي تفوقها في صناعة الأعواد .
3,7,1,123,69,0.56,0.2,10.63,ولكن بغداد لها السبق في ذلك ففي بغداد هناك أكثر من حرفي يفوم بصنعها .
3,8,1,123,27,0.22,0.11,3.67,، وبذلك غدا العود العراقي .
3,9,1,123,79,0.64,0.15,10.12,ذا سمعة عالمية جعلت كبار الملحنين والمطربين في العالم العربي يفضلونه على غيره .
3,10,0,123,58,0.47,0.18,8.47,، ومن أحد صناع العود المحدثين في العراق سمير رشيد العواد .
3,11,0,123,59,0.48,0.14,6.97,الذي يتسابق الفنانون العرب للحصول على أحد الأعواد من صنعه .
3,12,0,123,32,0.26,0.09,5.5,، مثل المطرب الكويتي نبيل شعيل .
3,13,0,123,130,1.06,0.25,18.33,، والمطرب اللبناني الكبير وديع الصافي والمطرب العراقي المشهور كاظم الساهر والمطرب مهند محسن والمطرب ياس خضر والموسيقار منير بشير .
4,1,1,133,82,0.62,0.21,9.93,﻿ الخطاط الكويتي فريد العلي يعرض مجموعة محمديات بدعوة من جمعية العلوم الاجتماعية .
4,2,1,133,134,1.01,0.2,20.16,وتحت رعاية عميد كلية العلوم الاجتماعية الدكتور علي الطراح افتتحت الدكتورة نادية الحمدان رئيس مكتب التوجيه والإرشاد معرض (خير الأنام) .
4,3,1,133,21,0.16,0.09,2.92,، للخطاط فريد العلي .
4,4,0,133,58,0.44,0.13,9.1,عرض الخطاط العلي 30 لوحة تحتوي على 108 تصاميم لكلمة محمد .
4,5,0,133,46,0.35,0.14,6.86,عليه أفضل الصلاة والسلام من مجموعة (محمديات) .
4,6,0,133,30,0.23,0.09,3.83,التي صممها الفنان ب500 تشكيل .
4,7,0,133,44,0.33,0.08,6.44,والذي يتزامن مع ذكرى المولد النبوي الشريف  .
4,8,1,133,94,0.71,0.24,12.13,وفي اليوم الثاني من المعرض أقام الفنان العلي ورشة فنية خطية لطلبة كلية العلوم الاجتماعية قدم .
4,9,1,133,27,0.2,0.07,3.55,فيها الفنان حلولا للمشاكل .
4,10,1,133,71,0.53,0.14,10.09,التي تواجه الطلبة في طريقة تحسين الخط العربي وخاصة في الكتابة السريعة .
4,11,1,133,55,0.41,0.11,8.63,، كما عرض الحلول لكيفية تصميم توقيع للطالب بما يتلاءم .
4,12,1,133,17,0.13,0.06,1.64,مع تركيبة الاسم .
4,13,0,133,112,0.84,0.22,13.82,وأيضا قام العلي بتصميم العديد من الأسماء للطلبة والطالبات بطريقة فنية ومشوقة وبأسلوبه المميز في الخط التشكيلي  .
4,14,0,133,85,0.64,0.2,12.32,هذا وقد زار المعرض العديد من أعضاء هيئة التدريس بالجامعة وعدد كبير من طلبة الكليات  .
4,15,0,133,39,0.29,0.1,5.93,ولقد لقي معرض الفنان صدى طيبا وبالأخص .
4,16,1,133,94,0.71,0.17,13.16,من قبل دكاترة الجامعة الأجانب الذين شد انتباههم تصميم الاسم والحرف العربي لغة القرآن الكريم  .
5,1,1,371,223,0.6,0.3,86.7,﻿لفت نظري واستغرابي إعلانان كلاهما يتعلق ب"طلب مرئيات العموم" من هيئة الاتصالات وتقنية المعلومات المنشور في جميع الصحف وملخصهما أن الهيئة من أجل الترخيص لمقدمي خدمة الهاتف الجوال أو الترخيص لمقدمي خدمة المعطيات (ولنا عودة .
5,2,0,371,51,0.14,0.08,18.94,لهذه الكلمة) تدعو الأطراف المعنية لإبداء مرئياتهم .
5,3,0,371,46,0.12,0.07,14.79,ومنهم الراغبون بتقديم الخدمة والهيئات الأخرى .
5,4,0,371,151,0.41,0.15,52.07,ذات العلاقة مثل الجهات الحكومية والمنشآت الصناعية والتجارية والهيئات الأكاديمية وموردي الأجهزة ومقدمي الخدمات وأي طرف آخر من الجمهور له اهتمام بالأمر .
5,5,0,371,99,0.27,0.14,32.6,، ويشير الإعلان إلى وثيقة ينبغي الرجوع إليها لإبداء المرئيات موجودة في موقع الهيئة بشبكة الإنترنت .
5,6,0,371,74,0.2,0.13,37.69,التي تتضمن (24) سؤالا تتعلق بترخيص المعطيات و(38) سؤالا تخص خدمة الجوال  .
5,7,0,371,1,0.0,0.05,-0.03,.
5,8,0,371,1,0.0,0.05,-0.03,.
5,9,0,371,92,0.25,0.19,33.49,ومبعث الاستغراب هو أننا لم نتعود من الجهات الحكومية أو غيرها أن تطلب رأي أو ملاحظات العموم .
5,10,1,371,53,0.14,0.14,19.2,وهم الجمهور أو الشعب في مشروع أو برنامج قبل تنفيذه  .
5,11,0,371,1,0.0,0.05,-0.03,.
5,12,0,371,1,0.0,0.05,-0.03,.
5,13,0,371,104,0.28,0.22,44.07,وهذا بظني أسلوب جديد له الكثير من الإيجابيات يأتي في قمتها حصول الهيئة على أكثر من (62) استشارة مجانية .
5,14,0,371,60,0.16,0.15,23.78,وهي الملاحظات والآراء التي ترد من كل طرف متجاوب من الأطراف .
5,15,0,371,45,0.12,0.12,18.83,ممن لهم مصلحة أو لهم علاقة بحكم الاختصاص أو .
5,16,0,371,60,0.16,0.15,20.49,ممن سيستعمل المشروع أو الخدمة أو متبرع بمرئياته من الجمهور .
5,17,0,371,48,0.13,0.1,21.09,، ومما لا شك فيه أن الهيئة ستقوم بدراسة وتمحيص .
5,18,0,371,174,0.47,0.14,66.13,ما يرد لها والأخذ بالصالح منها مما سيمكنها من تلافي السلبيات وتعزيز الإيجابيات ومنح التراخيص المعلن عنها للمستحقين والمؤهلين وبشروط عادلة تخدم فوق كل اعتبار المصلحة العامة  .
5,19,0,371,1,0.0,0.05,-0.03,.
5,20,0,371,1,0.0,0.05,-0.03,.
5,21,0,371,184,0.5,0.25,67.26,وتبقى ثلاثة أمور لا بد من الإشارة إليها تخص إعلان هيئة الاتصالات أولها أن المرئيات المطلوبة من العموم هي في أغلبها نواح فنية يصعب على الناس العاديين فهمها ناهيك عن إبداء الرأي حيالها .
5,22,0,371,64,0.17,0.13,26.49,، ومع ذلك فإن هناك أصحاب الاختصاص وربما المصلحة من الناس الذين .
5,23,0,371,104,0.28,0.19,42.02,لا بد أن يهمهم الأمر ، وثانيها أن الإعلان غير واضح من قراءته باللغة العربية لأول وهلة وأكرر لأول وهلة  .
5,24,0,371,1,0.0,0.05,-0.03,.
5,25,0,371,1,0.0,0.05,-0.03,.
5,26,0,371,82,0.22,0.1,26.09,وأخص بالذكر إعلان الهيئة الخاص بطلب مرئيات العموم عن ترخيص تقديم خدمات المعطيات  .
5,27,0,371,1,0.0,0.05,-0.03,.
5,28,0,371,1,0.0,0.05,-0.03,.
5,29,0,371,160,0.43,0.21,68.47,وقد احترت في فهم "المعطيات" حتى قرأتها باللغة الإنجليزية فوجدت (وأنا لست بالمترجم المحترف) أن الترجمة الأقرب هي خدمات إرسال أو توصيل الحزم أو البيانات الرقمية .
5,30,0,371,83,0.22,0.12,29.67,، وثالث الأمور أن الإعلان يشير إلى وثيقة خاصة ينبغي الرجوع إليها لإبداء المرئيات  .
5,31,0,371,1,0.0,0.05,-0.03,.
5,32,0,371,1,0.0,0.05,-0.03,.
5,33,0,371,73,0.2,0.11,23.95,وهذه الوثيقة موجودة باللغة الإنجليزية فقط في موقع الهيئة بشبكة الإنترنت .
5,34,0,371,40,0.11,0.08,15.75,كما نص الإعلان وخلاصة القول إن الإعلان .
5,35,0,371,54,0.15,0.11,19.44,كان من الممكن كتابته باللغة العربية بشكل أفضل وأوضح  .
5,36,1,371,112,0.3,0.13,46.33,ومع ذلك فإن لهيئة الاتصالات الفضل لكونها أو لجهة حكومية تتبع أسلوبا ديمقراطيا (إن صح التعبير) وذا شفافية عالية .
5,37,1,371,127,0.34,0.14,46.03,سيكون له قطعا مصلحة وفائدة لمجلس إدارتها في اتخاذ القرار المناسب عند استعراضه الخيارات المقدمة إليه من محصلة الآراء المستلمة  .
5,38,0,371,1,0.0,0.05,-0.03,.
5,39,0,371,1,0.0,0.05,-0.03,.
5,40,0,371,104,0.28,0.14,33.53,ويبقى أن يتفاعل ويتجاوب أصحاب العلاقة من اختصاصيين ومستفيدين ومستهلكين بتقديم آرائهم حتى تنجح التجربة  .
5,41,1,371,38,0.1,0.07,16.0,ويبقى تساؤل للعموم ربما لا يوجد جواب .
5,42,1,371,86,0.23,0.15,34.46,عليه وهو أما كان من الممكن أن تكون بعض المشروعات والبرامج المهمة أفضل لو اتبع حيالها .
5,43,0,371,50,0.13,0.11,16.36,مثل هذا الأسلوب في أخذ مرئيات العموم قبل تنفيذها .
5,44,1,371,83,0.22,0.08,30.96,مثل مشروعات بعض المطارات والطرق ومثل برامج كمناهج التعليم والتدريب ومكافحة الفقر  .
5,45,0,371,1,0.0,0.05,-0.03,.
5,46,1,371,158,0.43,0.23,63.04,؟ والأهم من هذا وذاك نقترح على مجلس الشورى قبل إقرار أي نظام له تأثير على شرائح كبيرة من المجتمع أن ينشره كمسودة ويدعو أصحاب العلاقة والعموم لإبداء مرئياتهم .
5,47,1,371,33,0.09,0.07,11.55,عليه للحصول على استشارات مجانية .
5,48,1,371,43,0.12,0.09,16.86,قد يكون بعضها في غاية الفائدة قبل إقراره  .
5,49,0,371,1,0.0,0.05,-0.03,.
5,50,0,371,1,0.0,0.05,-0.03,.
5,51,1,371,59,0.16,0.08,23.01,فنظام مهم مثل نظام السوق المالية مع التقدير للمديح الكثير .
5,52,0,371,46,0.12,0.1,19.42,الذي تحصل عليه حتى قبل اختباره أو تطبيقه أما .
5,53,1,371,37,0.1,0.11,12.4,كان الأفضل تلافي الكثير من السلبيات .
5,54,1,371,29,0.08,0.07,12.14,التي قد تظهر عند التطبيق لو .
5,55,1,371,55,0.15,0.13,17.45,تم نشره كمسودة وتم أخذ مرئيات العموم من أصحاب العلاقة .
5,56,1,371,46,0.12,0.12,15.07,ومنهم المئات أو الآلاف من المتعاملين بالأسهم .
5,57,0,371,45,0.12,0.08,18.87,ومن مرتادي غرف تداول الأسهم في فروع البنوك  .
6,1,1,504,56,0.11,0.04,18.35,﻿ تحت عنوان "أزياء مشعة" قدم المصمم اللبناني بسيل سودة .
6,2,1,504,78,0.15,0.21,19.4,هذا الشهر عرضه في روما ، وهو العرض السابع بعد عدة عروض ناجحة أقامها في بيروت .
6,3,1,504,68,0.13,0.14,14.9,، انتقد سودة هجرة المصممين العرب إلى الدول الأوروبية لتقديم عروضهم .
6,4,0,504,50,0.1,0.13,10.89,، وطالب بتأسيس أسبوع عربي للموضة بمواصفات عالمية .
6,5,0,504,49,0.1,0.14,9.66,، يقدم الإبداعات العربية ويعمل على تطوير المهنة .
6,6,0,504,36,0.07,0.13,6.79,، ونفى احتكار الرجل التصميم للمرأة .
6,7,0,504,42,0.08,0.16,8.05,، مؤكدا أن قدرة المرأة على التصميم للرجل .
6,8,0,504,28,0.06,0.16,5.26,، وآراء أخرى في هذا الحوار .
6,9,1,504,44,0.09,0.08,9.79,* كيف كان عرضك الأخير في روما وما المجموعة .
6,10,1,504,88,0.17,0.1,20.96,التي قدمتها؟ قدمت في عرض روما مجموعة من 40 قطعة لموسم الصيف مستوحاة من فترة السبعينيات .
6,11,1,504,63,0.12,0.18,11.74,، استخدمت فيها الأقمشة التي تستخدم عادة في أزياء الهوت كوتيور .
6,12,0,504,144,0.29,0.38,35.01,مثل الموسلين والحرير ، ولكن بطريقة جديدة مع استخدام الإكسسوار ، العرض أقيم تحت عنوان "أزياء مشعة" ، وعلى المستوى العربي كانت الأصداء جيدة جدا  .
6,13,1,504,133,0.26,0.12,29.86,* ما هي الألوان والأقمشة التي تفضل استعمالها في تصاميمك؟ أفضل عادة ألوان الباستيل من الأصفر إلى البيتش سومو والتركواز والبيج والزهر .
6,14,0,504,24,0.05,0.12,5.61,، وهذه هي ألوان الموضة .
6,15,1,504,44,0.09,0.14,9.84,، وهناك الأسود الذي مازال محافظا على رونقه .
6,16,1,504,107,0.21,0.37,28.01,، والأبيض كذلك ، أما القماش فيحدد حسب موضة العام ، فالموضة تحتم عليك نوعية قماش محددة وتضعك في إطار معين  .
6,17,0,504,86,0.17,0.13,17.86,* ما هي المعوقات لمجال تصميم الأزياء في لبنان؟ المشكلة في عدم وجود أسبوع سنوي للموضة .
6,18,0,504,30,0.06,0.07,6.39,يقام في لبنان على نطاق عالمي .
6,19,0,504,24,0.05,0.12,5.47,، وهجرة العقول المبدعة .
6,20,0,504,44,0.09,0.16,8.81,، فالمصممون يتركون بلدهم ويعرضون في الخارج .
6,21,0,504,62,0.12,0.19,12.15,، والمفروض أن نقيم أسبوعا للموضة في العالم العربي بشكل عالمي .
6,22,0,504,73,0.14,0.28,17.66,، فيحدث من خلاله النقد والتطوير ، كما يحدث في روما ولندن ونيويورك اليوم .
6,23,0,504,40,0.08,0.16,10.43,، يجب أن نعمل اليوم قبل الغد على تأسيس .
6,24,0,504,60,0.12,0.14,15.86,هذا الأسبوع ، ولبنان أكثر بلد عنده مقومات إقامة أسبوع موضة .
6,25,0,504,33,0.07,0.12,7.34,، فلديه الأيدي العاملة والتقنية .
6,26,0,504,35,0.07,0.14,8.26,، مما يمكنه من إقامة أسبوع للموضة .
6,27,0,504,29,0.06,0.14,4.45,، يدرج على المستوى العالمي  .
6,28,1,504,42,0.08,0.03,10.51,* لماذا ترتبط الموضة غالبا بارتفاع السعر .
6,29,1,504,68,0.13,0.14,17.84,، وكيف يمكن تحقيق معادلة الأناقة للجميع؟ أكيد إن الأناقة حق للجميع .
6,30,0,504,43,0.09,0.17,7.13,، ولكن الهوت كوتيور لا يمكن تقديمه للجميع .
6,31,1,504,67,0.13,0.13,18.79,، تماما مثل الشخص الذي يشتري منزلا غاليا ويعد له الديكور الخاص به .
6,32,0,504,75,0.15,0.17,15.84,، ولكن عن طريق الفستان الجاهز والخياطين يمكن أن نقدم تصميمات أنيقة للجميع .
6,33,0,504,44,0.09,0.19,6.58,، ولكن الهوت كوتيور لا يمكن أن يكون للجميع .
6,34,0,504,26,0.05,0.14,4.07,، لأنها نوعية من الأزياء .
6,35,0,504,40,0.08,0.06,9.65,يتم ارتداؤها في مناسبات معينة خاصة جدا .
6,36,0,504,43,0.09,0.12,8.81,، مثل الأفراح والحفلات والمناسبات السعيدة .
6,37,0,504,24,0.05,0.12,6.93,، فله ميزات خاصة مكلفة .
6,38,0,504,33,0.07,0.16,6.4,، ويجب أن نحافظ على هذه الميزات .
6,39,1,504,94,0.19,0.13,19.07,* لماذا يحتكر الرجل مهنة التصميم للمرأة؟ في العالم توجد مصممات كثيرات نجحن في التصميم للمرأة .
6,40,1,504,30,0.06,0.18,4.01,، ولكن في العالم العربي يندر .
6,41,1,504,27,0.05,0.02,6.31,ذلك لظروف اجتماعية مختلفة .
6,42,1,504,49,0.1,0.13,11.78,، أيضا المرأة لو صممت تصميما جيدا بفطرتها ستقول .
6,43,1,504,92,0.18,0.31,18.45,هذا التصميم لي ، ليس في الأمر احتكار ، بالعكس نحن لا نرفض الفكرة فالمرأة قادرة على الإبداع .
6,44,0,504,36,0.07,0.14,5.07,، والرجولة لا تحتكر تصميم الأزياء  .
6,45,1,504,55,0.11,0.04,12.09,* صممت إحدى الشركات اليابانية روبوت خاصا لعرض الأزياء .
6,46,1,504,24,0.05,0.13,5.95,، فهل تنجح هذه الفكرة؟ .
6,47,0,504,28,0.06,0.04,7.09,الموديل يجب أن تعرضه امرأة .
6,48,0,504,68,0.13,0.3,14.92,، ولا أتصور أن يتم بخلاف ذلك ، فلا يمكن أن أعرض تصميماتي على روبوت .
6,49,0,504,51,0.1,0.18,9.33,، هذه تكنولوجيا ولا أتصور تطبيقها في الهوت كوتيور .
6,50,0,504,105,0.21,0.29,24.61,، هناك محاولات تمت من هذا القبيل ، مثال عرض سينمائي أقيم في التسعينيات نفذه مصمم فرنسي اسمه هيري موجلير .
6,51,0,504,97,0.19,0.39,22.98,، ونجح العرض ولكن كان مكلفا ، فقد كلف مليون دولار ، وكانت محاولة في فترة تحول للعروض السينمائية .
6,52,0,504,32,0.06,0.13,7.71,، وهناك محاولات أخرى سابقة تمت .
6,53,0,504,65,0.13,0.16,16.01,، ولكنها كانت بمثابة رسائل وتنبيه إلى أن الإنسان تحول إلى روبوت .
6,54,0,504,28,0.06,0.13,6.42,، وأننا ذاهبون إلى الميكنة .
6,55,0,504,53,0.11,0.19,9.21,، ولكن لا يمكن أن نستعيض عن المرأة أو الرجل بروبوت  .
6,56,0,504,47,0.09,0.04,10.26,* كيف تأتي فكرة التصميم؟ أحيانا يكون كالإلهام .
